batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
535,0.8081557782533,0.046223139135,3,167,0.4506123429120308,0.0
749,0.6504406840307,0.0014462240045,4,852,0.011644791353428153,0.15651512335195686
167,0.8575258858752,0.0003841549042,4,507,0.014140675535056357,0.12185827692801302
577,0.8154099402502,0.041147884909,2,70,0.02640786948799434,0.0806456262257063
397,0.0195877047322,0.056622326596,2,240,0.38429217659186443,0.008550134897232057
533,0.8167481326558,0.0411297773179,2,161,0.20936351383801957,0.04924757112156261
577,0.7887507405358,0.0337247350719,4,158,0.1374309072540082,0.06063617305773676
574,0.7958751172503,0.0327909895418,5,67,0.11081924796805132,0.07736657989973372
465,0.8086512700891,0.0392767946077,5,154,0.30570589800558584,0.02532029487869956
508,0.808657025461,0.0361281543968,4,166,0.2743129666126545,0.041549788469618015
