batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
591,0.9997697342144,0.0055276967725,4,76,0.4506123429120308,9.272793928782145e-05
519,0.0016303952577,0.0050636483116,4,212,0.011436674808162817,0.020838403950134914
615,0.8106858052209,0.0001323482443,5,65,0.17425801692190868,0.003664058446884155
858,0.2903116654386,0.0001817709768,4,94,0.041381876553572686,0.01289607385794322
525,0.5048329188276,0.0001214691895,5,84,0.05406357289812025,0.0069498389959335325
736,0.8637309379157,0.0002050277786,5,66,0.061134343340378726,0.00461072325706482
661,0.4202195040044,0.000136240916,3,95,0.03951077468247084,0.01781043907006582
488,0.9912643180005,0.0001879295433,3,65,0.3909449832446711,0.0013377716143925986
911,0.8177786153751,0.0001997776562,5,68,0.30299216209726093,0.0033557275931040444
914,0.0544965293509,0.0001220228103,5,76,0.3204668127665006,0.0024123271306355793
